Common Name,Latin Name
Swainson’s Hawk,Buteo-swainsoni
Tree Swallow,Tachycineta-bicolor
Trumpeter Swan,Cygnus-buccinator
Tufted Titmouse,Baeolophus-bicolor
Turkey Vulture,Cathartes-aura
Vaux’s Swift,Chaetura-vauxi
Violet-Green Swallow,Tachycineta-thalassina
Western Meadowlark,Sturnella-neglecta
Western Tanager,Piranga-ludoviciana
White-Breasted Nuthatch,Sitta-carolinensis
White-Crowned Sparrow,Zonotrichia-leucophrys
White-Faced Ibis,Plegadis-chihi
White-Throated Swift,Aeronautes-saxatalis
Whooping Crane,Grus-americana
Wild Turkey,Meleagris-gallopavo
Willet,Tringa-semipalmata
Wilson’s Snipe,Gallinago-delicata
Wood Duck,Aix-sponsa
Wood Stork,Mycteria-americana
Yellow-Bellied Sapsucker,Sphyrapicus-varius
Yellow-Billed Cuckoo,Coccyzus-americanus
Yellow-Breasted Chat,Icteria-virens
Yellow-Headed Blackbird,Xanthocephalus-xanthocephalus
Yellow-Rumped Warbler,Setophaga-coronata
